startDate	startTime	duration	livestream	physical	title	username	themes	medium	desc
Fri 18 Sep 2020	11:45	45	true		Artist Q&A - Expanded Terrains	qfan001, gsimm002, ekoli001, cli003	Expanded Terrains	Live Q&A with artists	An opportunity to watch demonstrations of our artist's work alongside in-depth insight into their process. There is also the chance to connect with them through live Q&A and conversation surrounding the theme 'Expanded Terrains'.
	12:30	45	true		Artist Q&A - Thing Powers		Thing Power	Live Q&A with artists	An opportunity to watch demonstrations of our artist's work alongside in-depth insight into their process. There is also the chance to connect with them through live Q&A and conversation surrounding the theme 'Thing Power'.
	13:15	45	true		Artist Q&A - Generative Politics	mcard001, nadam001, ysun005	Generative Poetics	Live Q&A with artists	An opportunity to watch demonstrations of our artist's work alongside in-depth insight into their process. There is also the chance to connect with them through live Q&A and conversation surrounding the theme 'Generative Poetics'.
	14:30	45	true		Spotlight Panel				
	15:15	60	true		Discussion Panel				
	16:30	45	true		Artist Q&A - Expanded Terrains		Expanded Terrains	Live Q&A with artists	An opportunity to watch demonstrations of our artist's work alongside in-depth insight into their process. There is also the chance to connect with them through live Q&A and conversation surrounding the theme 'Expanded Terrains'.
	17:15	45	true		Artist Q&A - Bodies in Relation		Bodies in Relation	Live Q&A with artists	An opportunity to watch demonstrations of our artist's work alongside in-depth insight into their process. There is also the chance to connect with them through live Q&A and conversation surrounding the theme 'Bodies in Relation'.
Sat 19 Sep 2020	11:30	60	true		Live Installation Demos	hcorr001, rast001, ccami002		VR and Installation Demos	Live demonstrations of installation and VR works
	12:30	30	true		Remote Artist Spotlight	cchap005,		Pre-recorded demos	Pre-recorded demos from some of our remote artists
	13:00	45	true		Spotlight Panel				
	14:15	45	true		Artist Q&A - Non-directional Travel		Non-directional Travel	Live Q&A with artists	An opportunity to watch demonstrations of our artist's work alongside in-depth insight into their process. There is also the chance to connect with them through live Q&A and conversation surrounding the theme 'Non-directional Travel'.
	15:00	45	true		Artist Q&A - Multispecies Rehearsal		Multispecies Rehearsal	Live Q&A with artists	An opportunity to watch demonstrations of our artist's work alongside in-depth insight into their process. There is also the chance to connect with them through live Q&A and conversation surrounding the theme 'Multispecies Rehearsal'.
	16:00	60	true		Discussion Panel				
	17:00	45	true		Artist Q&A - Experiential Array		Experiential Array	Live Q&A with artists	An opportunity to watch demonstrations of our artist's work alongside in-depth insight into their process. There is also the chance to connect with them through live Q&A and conversation surrounding the theme 'Experiential Array'.
Sun 20 Sep 2020	11:45	45	true		Artist Q&A - Experiential Array		Experiential Array	Live Q&A with artists	An opportunity to watch demonstrations of our artist's work alongside in-depth insight into their process. There is also the chance to connect with them through live Q&A and conversation surrounding the theme 'Experiential Array'.
	12:30	45	true		Artist Q&A - Computational Resistance		Computational Resistance	Live Q&A with artists	An opportunity to watch demonstrations of our artist's work alongside in-depth insight into their process. There is also the chance to connect with them through live Q&A and conversation surrounding the theme 'Computational Resistance'.
	13:15	45	true		Spotlight Panel				
	14:30	45	true		Artist Q&A - Memory Bank	vjuss001	Memory Bank	Live Q&A with artists	An opportunity to watch demonstrations of our artist's work alongside in-depth insight into their process. There is also the chance to connect with them through live Q&A and conversation surrounding the theme 'Memory Bank'.
	15:15	45	true		Artist Q&A - Distance Orchestra		Distance Orchestra	Live Q&A with artists	An opportunity to watch demonstrations of our artist's work alongside in-depth insight into their process. There is also the chance to connect with them through live Q&A and conversation surrounding the theme 'Distance Orchestra'.
	16:15	45	true		Artist Q&A - Non-directional Travel	jburg002	Non-directional Travel	Live Q&A with artists	An opportunity to watch demonstrations of our artist's work alongside in-depth insight into their process. There is also the chance to connect with them through live Q&A and conversation surrounding the theme 'Non-directional Travel'.
