track,startTime,artist,title,module,form,notes
Data visualization & Information Art,15:46,Jakob Jennerholm Hammar,Weaving Drafts at the Edge of the Abyss,generative,Talk / Demo + Q&A,
Data visualization & Information Art,15:54,break,,,,
Games & Physical computing,14:00,intro,,,,
Games & Physical computing,14:08,break,,,,
Games & Physical computing,14:30,Hazel Ryan,Middle Ground,game ,Video of the work + Q&A,
Games & Physical computing,14:38,David R. Mincer,Laughing in the Face of Death,game,Video of the work + Q&A,
Games & Physical computing,14:46,Marcus Ansley,The Best Days,game,Video of the work + Q&A,
Games & Physical computing,14:54,break,,,,
Games & Physical computing,15:00,Owen Planchart,Pyrophonic,,Video of the work + Q&A,
Games & Physical computing,15:08,Clemence Debaig,Is It Getting Better?,,Talk / Demo + Q&A,(Also Data visualisation)
Games & Physical computing,15:16,Jonathan Fuller-Rowell,Performing Objects,,Talk / Demo + Q&A,
Games & Physical computing,15:24,break,,,,
Games & Physical computing,15:30,Julian Burgess,JESTLED,Machine learning,Talk / Demo + Q&A,
Games & Physical computing,15:38,Christina Karpodini,detuned piano,,Video of the work + Q&A,(also interactive and sonic and machine learning)
Games & Physical computing,15:46,Verra Jussila ,A Magical AI Angle,,Talk / Demo + Q&A,
Games & Physical computing,15:54,break,,,,
Games & Physical computing,16:00,Alex J. Fordery,"""The Usual""",Indie games,Talk / Demo + Q&A,
Games & Physical computing,16:08,Owen Planchart,The Unbearable Lightness of Mixed Signals,,Video of the work + Q&A,
Games & Physical computing,16:16,Clemence Debaig,Strings,,PErformance,"(also sonic, interactive)"
Interactive,14:00,Theo Papatheodorou,Introduction to Computational Arts MA,,Talk,
Interactive,14:08,Nathan Adams,orbiðvēl.V,,Talk / Demo + Q&A,
Interactive,14:16,yu liao ,You Cannot Recognise,,Video of the work + Q&A,
Interactive,14:24,break,,,,
Interactive,14:30,Alesandra Miro Quesada,Computing my Latiness,,Talk / Demo + Q&A,
Interactive,14:38,Camilla Colussi,The future,,Video of the work + Q&A,
Interactive,14:46, Yuwen Huang, Project about 3D Studio and openFrameworks,,Video of the work + Q&A,
Interactive,14:54,break,,,,
Interactive,15:00,Jonathan Fuller-Rowell,How Long Is Now,,Video of the work + Q&A,
Interactive,15:08,Oliver Schilke,Sumbios,,Video of the work + Q&A,
Interactive,15:16,Chia Yang Chang (Andrew),Stop projecting your feelings onto others.,,Video of the work + Q&A,
Interactive,15:24,break,,,,
Interactive,15:30,Katie Tindle,The Yellow Wallpaper,,Talk / Demo + Q&A,
Interactive,15:38,Chris Newth,Computational Spinning Wheel,,Talk / Demo + Q&A,
Interactive,15:46,Mengdi Li,"Cough, No Free",,Video of the work + Q&A,
Interactive,15:54,break,,,,
Interactive,16:00,Lou Terry ,Interactive Instrument,,Video of the work + Q&A,
Interactive,16:08,Yuhyeon Jun,Light up the Balls,,Talk / Demo + Q&A,
Interactive,16:16,Yishuai Zhang,Between,,performance,
Interactive,16:24,break,,,,
